start end pid
1 85 0
85 87 CS
87 167 4
167 169 CS
169 249 7
249 251 CS
251 332 6
332 334 CS
334 414 23
414 416 CS
416 497 8
497 499 CS
499 580 33
580 582 CS
582 663 36
663 665 CS
665 746 45
746 748 CS
748 829 49
829 831 CS
831 911 78
911 913 CS
913 994 61
994 996 CS
996 1077 100
1077 1079 CS
1079 1161 16
1161 1163 CS
1163 1245 46
1245 1247 CS
1247 1329 77
1329 1331 CS
1331 1413 79
1413 1415 CS
1415 1495 142
1495 1497 CS
1497 1578 143
1578 1580 CS
1580 1661 150
1661 1663 CS
1663 1747 52
1747 1749 CS
1749 1830 181
1830 1832 CS
1832 1914 190
1914 1916 CS
1916 2000 111
2000 2002 CS
2002 2086 163
2086 2088 CS
2088 2172 175
2172 2174 CS
2174 2259 66
2259 2261 CS
2261 2346 134
2346 2348 CS
2348 2433 135
2433 2435 CS
2435 2520 136
2520 2522 CS
2522 2608 2
2608 2610 CS
2610 2696 19
2696 2698 CS
2698 2784 71
2784 2786 CS
2786 2872 82
2872 2874 CS
2874 2960 194
2960 2962 CS
2962 3049 42
3049 3051 CS
3051 3138 76
3138 3140 CS
3140 3227 148
3227 3229 CS
3229 3317 51
3317 3319 CS
3319 3407 117
3407 3409 CS
3409 3498 102
3498 3500 CS
3500 3589 107
3589 3591 CS
3591 3680 130
3680 3682 CS
3682 3771 184
3771 3773 CS
3773 3863 22
3863 3865 CS
3865 3955 39
3955 3957 CS
3957 4047 40
4047 4049 CS
4049 4139 81
4139 4141 CS
4141 4231 110
4231 4233 CS
4233 4323 133
4323 4325 CS
4325 4415 147
4415 4417 CS
4417 4507 172
4507 4509 CS
4509 4599 185
4599 4601 CS
4601 4692 34
4692 4694 CS
4694 4785 95
4785 4787 CS
4787 4878 104
4878 4880 CS
4880 4971 166
4971 4973 CS
4973 5065 14
5065 5067 CS
5067 5160 28
5160 5162 CS
5162 5255 89
5255 5257 CS
5257 5350 109
5350 5352 CS
5352 5445 126
5445 5447 CS
5447 5540 149
5540 5542 CS
5542 5635 174
5635 5637 CS
5637 5730 191
5730 5732 CS
5732 5825 199
5825 5827 CS
5827 5921 5
5921 5923 CS
5923 6017 10
6017 6019 CS
6019 6113 94
6113 6115 CS
6115 6209 98
6209 6211 CS
6211 6305 124
6305 6307 CS
6307 6401 178
6401 6403 CS
6403 6497 180
6497 6499 CS
6499 6594 187
6594 6596 CS
6596 6691 196
6691 6693 CS
6693 6789 35
6789 6791 CS
6791 6887 144
6887 6889 CS
6889 6985 146
6985 6987 CS
6987 7083 167
7083 7085 CS
7085 7182 37
7182 7184 CS
7184 7281 63
7281 7283 CS
7283 7380 75
7380 7382 CS
7382 7479 99
7479 7481 CS
7481 7578 141
7578 7580 CS
7580 7677 157
7677 7679 CS
7679 7776 173
7776 7778 CS
7778 7875 193
7875 7877 CS
7877 7975 12
7975 7977 CS
7977 8075 41
8075 8077 CS
8077 8175 86
8175 8177 CS
8177 8275 164
8275 8277 CS
8277 8376 21
8376 8378 CS
8378 8477 96
8477 8479 CS
8479 8578 188
8578 8580 CS
8580 8680 60
8680 8682 CS
8682 8782 85
8782 8784 CS
8784 8884 87
8884 8886 CS
8886 8986 88
8986 8988 CS
8988 9088 103
9088 9090 CS
9090 9190 105
9190 9192 CS
9192 9292 138
9292 9294 CS
9294 9394 189
9394 9396 CS
9396 9497 69
9497 9499 CS
9499 9600 114
9600 9602 CS
9602 9703 198
9703 9705 CS
9705 9807 57
9807 9809 CS
9809 9911 101
9911 9913 CS
9913 10015 116
10015 10017 CS
10017 10119 153
10119 10121 CS
10121 10224 18
10224 10226 CS
10226 10329 20
10329 10331 CS
10331 10434 29
10434 10436 CS
10436 10539 92
10539 10541 CS
10541 10644 125
10644 10646 CS
10646 10749 152
10749 10751 CS
10751 10855 3
10855 10857 CS
10857 10961 59
10961 10963 CS
10963 11067 72
11067 11069 CS
11069 11173 137
11173 11175 CS
11175 11279 156
11279 11281 CS
11281 11385 197
11385 11387 CS
11387 11492 17
11492 11494 CS
11494 11599 118
11599 11601 CS
11601 11706 155
11706 11708 CS
11708 11813 162
11813 11815 CS
11815 11921 11
11921 11923 CS
11923 12029 31
12029 12031 CS
12031 12137 43
12137 12139 CS
12139 12245 53
12245 12247 CS
12247 12353 115
12353 12355 CS
12355 12462 47
12462 12464 CS
12464 12571 58
12571 12573 CS
12573 12680 182
12680 12682 CS
12682 12790 1
12790 12792 CS
12792 12900 93
12900 12902 CS
12902 13010 154
13010 13012 CS
13012 13120 160
13120 13122 CS
13122 13230 171
13230 13232 CS
13232 13340 186
13340 13342 CS
13342 13450 195
13450 13452 CS
13452 13561 128
13561 13563 CS
13563 13672 168
13672 13674 CS
13674 13784 84
13784 13786 CS
13786 13896 90
13896 13898 CS
13898 14008 122
14008 14010 CS
14010 14120 179
14120 14122 CS
14122 14233 9
14233 14235 CS
14235 14346 15
14346 14348 CS
14348 14459 119
14459 14461 CS
14461 14572 139
14572 14574 CS
14574 14686 13
14686 14688 CS
14688 14800 27
14800 14802 CS
14802 14914 30
14914 14916 CS
14916 15028 44
15028 15030 CS
15030 15142 120
15142 15144 CS
15144 15256 158
15256 15258 CS
15258 15370 169
15370 15372 CS
15372 15485 159
15485 15487 CS
15487 15600 161
15600 15602 CS
15602 15715 192
15715 15717 CS
15717 15831 65
15831 15833 CS
15833 15947 67
15947 15949 CS
15949 16063 83
16063 16065 CS
16065 16179 91
16179 16181 CS
16181 16295 113
16295 16297 CS
16297 16411 140
16411 16413 CS
16413 16527 145
16527 16529 CS
16529 16643 151
16643 16645 CS
16645 16760 24
16760 16762 CS
16762 16877 26
16877 16879 CS
16879 16994 54
16994 16996 CS
16996 17111 64
17111 17113 CS
17113 17228 74
17228 17230 CS
17230 17345 112
17345 17347 CS
17347 17462 127
17462 17464 CS
17464 17579 176
17579 17581 CS
17581 17696 177
17696 17698 CS
17698 17814 25
17814 17816 CS
17816 17932 55
17932 17934 CS
17934 18050 62
18050 18052 CS
18052 18168 131
18168 18170 CS
18170 18287 80
18287 18289 CS
18289 18406 170
18406 18408 CS
18408 18526 68
18526 18528 CS
18528 18646 70
18646 18648 CS
18648 18766 106
18766 18768 CS
18768 18886 129
18886 18888 CS
18888 19007 32
19007 19009 CS
19009 19128 38
19128 19130 CS
19130 19249 56
19249 19251 CS
19251 19370 73
19370 19372 CS
19372 19491 97
19491 19493 CS
19493 19612 108
19612 19614 CS
19614 19733 123
19733 19735 CS
19735 19855 48
19855 19857 CS
19857 19977 50
19977 19979 CS
19979 20099 121
20099 20101 CS
20101 20221 132
20221 20223 CS
20223 20343 165
20343 20345 CS
20345 20465 183
