start end pid
0 10 0
21 23 CS
23 42 1
42 44 CS
44 56 3
56 58 CS
58 72 4
72 74 CS
74 88 5
88 90 CS
90 101 7
101 103 CS
103 120 8
120 122 CS
122 135 11
135 137 CS
137 155 6
155 157 CS
157 172 14
172 174 CS
174 185 17
185 187 CS
187 205 13
205 207 CS
207 223 18
223 225 CS
225 240 20
240 242 CS
242 254 25
254 256 CS
256 270 23
270 272 CS
272 285 27
285 287 CS
287 302 28
302 304 CS
304 320 24
320 322 CS
322 334 34
334 336 CS
336 348 38
348 350 CS
350 364 32
364 366 CS
366 381 36
381 383 CS
383 400 21
400 402 CS
402 419 22
419 421 CS
421 437 41
437 439 CS
439 451 42
451 453 CS
453 467 43
467 469 CS
469 479 46
479 481 CS
481 496 44
496 498 CS
498 509 50
509 511 CS
511 522 51
522 524 CS
524 536 52
536 538 CS
538 551 54
551 553 CS
553 566 55
566 568 CS
568 582 57
582 584 CS
584 595 59
595 597 CS
597 612 53
612 614 CS
614 630 48
630 632 CS
632 646 63
646 648 CS
648 665 30
665 667 CS
667 683 65
683 685 CS
685 697 67
697 699 CS
699 715 69
715 717 CS
717 728 71
728 730 CS
730 744 72
744 746 CS
746 758 74
758 760 CS
760 772 75
772 774 CS
774 786 80
786 788 CS
788 798 81
798 800 CS
800 811 82
811 813 CS
813 824 83
824 826 CS
826 836 84
836 838 CS
838 853 85
853 855 CS
855 871 70
871 873 CS
873 889 73
889 891 CS
891 907 78
907 909 CS
909 919 88
919 921 CS
921 938 40
938 940 CS
940 951 89
951 953 CS
953 966 92
966 968 CS
968 985 61
985 987 CS
987 1004 79
1004 1006 CS
1006 1016 101
1016 1018 CS
1018 1029 98
1029 1031 CS
1031 1043 105
1043 1045 CS
1045 1058 99
1058 1060 CS
1060 1071 112
1071 1073 CS
1073 1083 114
1083 1085 CS
1085 1096 119
1096 1098 CS
1098 1109 121
1109 1111 CS
1111 1123 110
1123 1125 CS
1125 1136 124
1136 1138 CS
1138 1150 118
1150 1152 CS
1152 1165 100
1165 1167 CS
1167 1180 115
1180 1182 CS
1182 1195 130
1195 1197 CS
1197 1211 103
1211 1213 CS
1213 1224 133
1224 1226 CS
1226 1240 120
1240 1242 CS
1242 1256 123
1256 1258 CS
1258 1272 125
1272 1274 CS
1274 1288 131
1288 1290 CS
1290 1304 132
1304 1306 CS
1306 1316 146
1316 1318 CS
1318 1333 104
1333 1335 CS
1335 1350 117
1350 1352 CS
1352 1367 138
1367 1369 CS
1369 1382 151
1382 1384 CS
1384 1399 145
1399 1401 CS
1401 1416 149
1416 1418 CS
1418 1429 158
1429 1431 CS
1431 1446 152
1446 1448 CS
1448 1459 160
1459 1461 CS
1461 1474 161
1474 1476 CS
1476 1489 162
1489 1491 CS
1491 1503 168
1503 1505 CS
1505 1519 166
1519 1521 CS
1521 1535 169
1535 1537 CS
1537 1548 170
1548 1550 CS
1550 1560 172
1560 1562 CS
1562 1577 153
1577 1579 CS
1579 1594 156
1594 1596 CS
1596 1608 173
1608 1610 CS
1610 1621 174
1621 1623 CS
1623 1638 163
1638 1640 CS
1640 1652 175
1652 1654 CS
1654 1667 176
1667 1669 CS
1669 1684 164
1684 1686 CS
1686 1696 182
1696 1698 CS
1698 1712 187
1712 1714 CS
1714 1728 188
1728 1730 CS
1730 1744 190
1744 1746 CS
1746 1757 196
1757 1759 CS
1759 1773 192
1773 1775 CS
1775 1790 189
1790 1792 CS
1792 1808 102
1808 1810 CS
1810 1826 139
1826 1828 CS
1828 1844 144
1844 1846 CS
1846 1862 155
1862 1864 CS
1864 1880 165
1880 1882 CS
1882 1898 167
1898 1900 CS
1900 1916 180
1916 1918 CS
1918 1934 183
1934 1936 CS
1936 1952 186
1952 1954 CS
1954 1970 194
1970 1972 CS
1972 1988 197
1988 1990 CS
1990 2007 90
2007 2009 CS
2009 2026 91
2026 2028 CS
2028 2045 95
2045 2047 CS
2047 2064 109
2064 2066 CS
2066 2083 136
2083 2085 CS
2085 2102 179
2102 2104 CS
2104 2121 181
2121 2123 CS
2123 2140 191
2140 2142 CS
2142 2159 195
2159 2161 CS
2161 2179 15
2179 2181 CS
2181 2199 19
2199 2201 CS
2201 2219 33
2219 2221 CS
2221 2239 37
2239 2241 CS
2241 2259 49
2259 2261 CS
2261 2279 56
2279 2281 CS
2281 2299 58
2299 2301 CS
2301 2319 64
2319 2321 CS
2321 2339 68
2339 2341 CS
2341 2359 77
2359 2361 CS
2361 2379 93
2379 2381 CS
2381 2399 94
2399 2401 CS
2401 2419 107
2419 2421 CS
2421 2439 111
2439 2441 CS
2441 2459 116
2459 2461 CS
2461 2479 127
2479 2481 CS
2481 2499 134
2499 2501 CS
2501 2519 135
2519 2521 CS
2521 2539 142
2539 2541 CS
2541 2559 143
2559 2561 CS
2561 2579 157
2579 2581 CS
2581 2599 177
2599 2601 CS
2601 2619 184
2619 2621 CS
2621 2639 185
2639 2641 CS
2641 2659 199
2659 2661 CS
2661 2680 12
2680 2682 CS
2682 2701 16
2701 2703 CS
2703 2722 29
2722 2724 CS
2724 2743 31
2743 2745 CS
2745 2764 39
2764 2766 CS
2766 2785 45
2785 2787 CS
2787 2806 47
2806 2808 CS
2808 2827 60
2827 2829 CS
2829 2848 76
2848 2850 CS
2850 2869 106
2869 2871 CS
2871 2890 113
2890 2892 CS
2892 2911 126
2911 2913 CS
2913 2932 129
2932 2934 CS
2934 2953 137
2953 2955 CS
2955 2974 140
2974 2976 CS
2976 2995 148
2995 2997 CS
2997 3016 150
3016 3018 CS
3018 3037 193
3037 3039 CS
3039 3058 198
3058 3060 CS
3060 3080 2
3080 3082 CS
3082 3102 9
3102 3104 CS
3104 3124 10
3124 3126 CS
3126 3146 26
3146 3148 CS
3148 3168 35
3168 3170 CS
3170 3190 62
3190 3192 CS
3192 3212 66
3212 3214 CS
3214 3234 86
3234 3236 CS
3236 3256 87
3256 3258 CS
3258 3278 96
3278 3280 CS
3280 3300 97
3300 3302 CS
3302 3322 108
3322 3324 CS
3324 3344 122
3344 3346 CS
3346 3366 128
3366 3368 CS
3368 3388 141
3388 3390 CS
3390 3410 147
3410 3412 CS
3412 3432 154
3432 3434 CS
3434 3454 159
3454 3456 CS
3456 3476 171
3476 3478 CS
3478 3498 178
