start end pid
18 76 0
76 78 CS
78 142 2
142 144 CS
144 207 7
207 209 CS
209 294 6
294 296 CS
296 356 1
356 358 CS
358 426 3
426 428 CS
428 488 9
488 490 CS
490 570 11
570 572 CS
572 626 5
626 628 CS
628 653 8
653 655 CS
655 730 12
730 732 CS
732 817 4
817 819 CS
819 835 10
835 837 CS
837 884 13
884 886 CS
886 950 14
950 952 CS
952 1027 15
1027 1029 CS
1029 1064 16
1064 1066 CS
1066 1123 17
1123 1125 CS
1125 1155 18
1155 1157 CS
1157 1208 19
1208 1210 CS
1210 1280 20
1280 1282 CS
1282 1337 21
1337 1339 CS
1339 1364 22
1364 1366 CS
1366 1414 23
1414 1416 CS
1416 1471 24
1471 1473 CS
1473 1524 25
1524 1526 CS
1526 1527 26
1527 1529 CS
1529 1578 27
1578 1580 CS
1580 1617 28
1617 1619 CS
1619 1653 29
1653 1655 CS
1655 1707 30
1707 1709 CS
1709 1756 31
1756 1758 CS
1758 1817 32
1817 1819 CS
1819 1856 33
1856 1858 CS
1858 1927 34
1927 1929 CS
1929 1996 35
1996 1998 CS
1998 2066 36
2066 2068 CS
2068 2122 37
2122 2124 CS
2124 2137 38
2137 2139 CS
2139 2188 39
2188 2190 CS
2190 2216 40
2216 2218 CS
2218 2255 41
2255 2257 CS
2257 2323 42
2323 2325 CS
2325 2353 43
2353 2355 CS
2355 2391 44
2391 2393 CS
2393 2452 45
2452 2454 CS
2454 2521 46
2521 2523 CS
2523 2591 47
2591 2593 CS
2593 2665 48
2665 2667 CS
2667 2723 49
2723 2725 CS
2725 2781 50
2781 2783 CS
2783 2824 51
2824 2826 CS
2826 2865 52
2865 2867 CS
2867 2922 53
2922 2924 CS
2924 2987 54
2987 2989 CS
2989 3036 55
3036 3038 CS
3038 3086 56
3086 3088 CS
3088 3151 57
3151 3153 CS
3153 3211 58
3211 3213 CS
3213 3308 59
3308 3310 CS
3310 3357 60
3357 3359 CS
3359 3408 61
3408 3410 CS
3410 3446 62
3446 3448 CS
3448 3503 63
3503 3505 CS
3505 3567 64
3567 3569 CS
3569 3646 65
3646 3648 CS
3648 3707 66
3707 3709 CS
3709 3760 67
3760 3762 CS
3762 3830 68
3830 3832 CS
3832 3891 69
3891 3893 CS
3893 3979 70
3979 3981 CS
3981 4016 71
4016 4018 CS
4018 4082 72
4082 4084 CS
4084 4107 73
4107 4109 CS
4109 4158 74
4158 4160 CS
4160 4213 75
4213 4215 CS
4215 4270 76
4270 4272 CS
4272 4343 77
4343 4345 CS
4345 4373 78
4373 4375 CS
4375 4452 79
4452 4454 CS
4454 4496 80
4496 4498 CS
4498 4563 81
4563 4565 CS
4565 4618 82
4618 4620 CS
4620 4663 83
4663 4665 CS
4665 4745 84
4745 4747 CS
4747 4789 85
4789 4791 CS
4791 4808 86
4808 4810 CS
4810 4891 87
4891 4893 CS
4893 4922 88
4922 4924 CS
4924 4955 89
4955 4957 CS
4957 4997 90
4997 4999 CS
4999 5079 91
5079 5081 CS
5081 5136 92
5136 5138 CS
5138 5197 93
5197 5199 CS
5199 5227 94
5227 5229 CS
5229 5262 95
5262 5264 CS
5264 5314 96
5314 5316 CS
5316 5337 97
5337 5339 CS
5339 5390 98
5390 5392 CS
