start end pid
18 76 0
76 78 CS
78 103 8
103 105 CS
105 121 10
121 123 CS
123 177 5
177 179 CS
179 209 18
209 211 CS
211 246 16
246 248 CS
248 273 22
273 275 CS
275 276 26
276 278 CS
278 315 28
315 317 CS
317 351 29
351 353 CS
353 400 13
400 402 CS
402 439 33
439 441 CS
441 454 38
454 456 CS
456 482 40
482 484 CS
484 521 41
521 523 CS
523 570 31
570 572 CS
572 600 43
600 602 CS
602 638 44
638 640 CS
640 681 51
681 683 CS
683 722 52
722 724 CS
724 771 55
771 773 CS
773 820 60
820 822 CS
822 858 62
858 860 CS
860 895 71
895 897 CS
897 920 73
920 922 CS
922 950 78
950 952 CS
952 994 80
994 996 CS
996 1013 86
1013 1015 CS
1015 1057 85
1057 1059 CS
1059 1088 88
1088 1090 CS
1090 1118 94
1118 1120 CS
1120 1141 97
1141 1143 CS
1143 1174 89
1174 1176 CS
1176 1204 108
1204 1206 CS
1206 1239 95
1239 1241 CS
1241 1281 90
1281 1283 CS
1283 1293 116
1293 1295 CS
1295 1335 109
1335 1337 CS
1337 1341 119
1341 1343 CS
1343 1353 123
1353 1355 CS
1355 1367 126
1367 1369 CS
1369 1402 127
1402 1404 CS
1404 1442 124
1442 1444 CS
1444 1486 130
1486 1488 CS
1488 1506 134
1506 1508 CS
1508 1543 139
1543 1545 CS
1545 1588 83
1588 1590 CS
1590 1619 144
1619 1621 CS
1621 1664 99
1664 1666 CS
1666 1702 151
1702 1704 CS
1704 1727 153
1727 1729 CS
1729 1753 157
1753 1755 CS
1755 1774 167
1774 1776 CS
1776 1819 117
1819 1821 CS
1821 1842 170
1842 1844 CS
1844 1869 172
1869 1871 CS
1871 1907 171
1907 1909 CS
1909 1946 174
1946 1948 CS
1948 1989 173
1989 1991 CS
1991 2023 184
2023 2025 CS
2025 2067 176
2067 2069 CS
2069 2094 192
2094 2096 CS
2096 2098 197
2098 2100 CS
2100 2124 196
2124 2126 CS
2126 2152 189
2152 2154 CS
2154 2184 199
2184 2186 CS
2186 2229 158
2229 2231 CS
2231 2274 182
2274 2276 CS
2276 2320 145
2320 2322 CS
2322 2366 188
2366 2368 CS
2368 2412 191
2412 2414 CS
2414 2459 112
2459 2461 CS
2461 2506 150
2506 2508 CS
2508 2553 194
2553 2555 CS
2555 2601 164
2601 2603 CS
2603 2650 104
2650 2652 CS
2652 2699 141
2699 2701 CS
2701 2748 160
2748 2750 CS
2750 2797 162
2797 2799 CS
2799 2847 23
2847 2849 CS
2849 2897 56
2897 2899 CS
2899 2947 156
2947 2949 CS
2949 2997 166
2997 2999 CS
2999 3047 185
3047 3049 CS
3049 3098 27
3098 3100 CS
3100 3149 39
3149 3151 CS
3151 3200 61
3200 3202 CS
3202 3251 74
3251 3253 CS
3253 3302 140
3302 3304 CS
3304 3353 198
3353 3355 CS
3355 3405 96
3405 3407 CS
3407 3458 19
3458 3460 CS
3460 3511 25
3511 3513 CS
3513 3564 67
3564 3566 CS
3566 3617 98
3617 3619 CS
3619 3670 103
3670 3672 CS
3672 3723 120
3723 3725 CS
3725 3776 168
3776 3778 CS
3778 3830 30
3830 3832 CS
3832 3884 142
3884 3886 CS
3886 3939 75
3939 3941 CS
3941 3994 82
3994 3996 CS
